iter	Passed	Remaining
0	134	134419
1	137	68636
2	140	46673
3	144	36079
4	147	29323
5	150	24929
6	153	21771
7	157	19472
8	158	17467
9	160	15871
10	162	14566
11	165	13661
12	167	12730
13	169	11904
14	170	11223
15	172	10593
16	173	10038
17	174	9523
18	176	9111
19	177	8716
20	179	8356
21	181	8062
22	182	7759
23	183	7481
24	185	7226
25	187	7020
26	188	6807
27	190	6627
28	192	6435
29	193	6259
30	194	6093
31	196	5936
32	198	5804
33	199	5666
34	200	5540
35	202	5416
36	203	5300
37	204	5188
38	206	5083
39	207	4984
40	209	4905
41	211	4818
42	212	4732
43	213	4649
44	215	4571
45	216	4495
46	218	4422
47	219	4356
48	221	4290
49	222	4227
50	223	4165
51	225	4107
52	226	4049
53	227	3993
54	229	3940
55	231	3907
56	233	3857
57	234	3808
58	235	3761
59	237	3715
60	238	3671
61	239	3629
62	241	3589
63	242	3550
64	244	3510
65	245	3472
66	246	3436
67	248	3401
68	249	3368
69	251	3341
70	254	3327
71	258	3326
72	259	3298
73	261	3270
74	262	3243
75	264	3218
76	267	3209
77	272	3215
78	273	3187
79	274	3161
80	277	3148
81	278	3121
82	280	3095
83	281	3067
84	282	3042
85	283	3017
86	285	2993
87	287	2978
88	288	2955
89	290	2933
90	291	2913
91	293	2891
92	294	2871
93	296	2859
94	298	2842
95	299	2822
96	301	2803
97	302	2785
98	303	2766
99	305	2748
100	306	2730
101	308	2717
102	310	2699
103	311	2682
104	312	2665
105	314	2648
106	315	2632
107	319	2635
108	320	2620
109	321	2604
110	323	2588
111	324	2574
112	326	2559
113	327	2547
114	329	2533
115	330	2519
116	332	2505
117	333	2492
118	334	2478
119	336	2465
120	337	2449
121	339	2441
122	340	2429
123	341	2414
124	343	2402
125	344	2390
126	345	2377
127	347	2370
128	349	2359
129	350	2348
130	352	2336
131	352	2319
132	354	2308
133	355	2297
134	356	2286
135	358	2277
136	359	2266
137	362	2262
138	363	2252
139	364	2241
140	366	2231
141	367	2222
142	369	2213
143	370	2203
144	372	2195
145	373	2186
146	375	2176
147	376	2167
148	378	2160
149	379	2151
150	381	2142
151	382	2133
152	384	2129
153	385	2120
154	387	2111
155	389	2109
156	391	2100
157	392	2092
158	393	2083
159	395	2077
160	397	2069
161	398	2063
162	400	2055
163	401	2047
164	402	2038
165	404	2030
166	405	2023
167	407	2018
168	409	2013
169	410	2006
170	412	1998
171	413	1991
172	414	1983
173	416	1976
174	418	1971
175	419	1965
176	421	1958
177	422	1953
178	424	1947
179	427	1948
180	430	1948
181	432	1943
182	434	1937
183	435	1932
184	438	1930
185	441	1932
186	442	1925
187	444	1918
188	445	1911
189	446	1905
190	448	1898
191	449	1891
192	451	1886
193	452	1880
194	453	1873
195	455	1867
196	456	1862
197	458	1858
198	460	1852
199	462	1850
200	463	1844
201	465	1838
202	466	1832
203	468	1826
204	469	1820
205	472	1820
206	473	1814
207	474	1808
208	476	1802
209	477	1796
210	479	1791
211	481	1789
212	483	1787
213	485	1782
214	486	1776
215	487	1770
216	489	1765
217	490	1761
218	492	1755
219	494	1751
220	495	1746
221	496	1740
222	497	1735
223	499	1729
224	500	1724
225	502	1719
226	503	1715
227	505	1710
228	506	1704
229	507	1699
230	509	1694
231	510	1690
232	512	1686
233	513	1682
234	515	1678
235	516	1673
236	518	1668
237	519	1664
238	521	1659
239	522	1654
240	523	1649
241	525	1645
242	526	1641
243	528	1636
244	529	1633
245	531	1628
246	532	1623
247	533	1619
248	535	1616
249	537	1612
250	539	1608
251	540	1604
252	541	1599
253	543	1595
254	544	1590
255	545	1586
256	547	1583
257	549	1581
258	551	1578
259	552	1573
260	554	1569
261	555	1565
262	556	1560
263	559	1558
264	561	1556
265	562	1552
266	564	1548
267	565	1544
268	566	1539
269	568	1535
270	570	1533
271	571	1529
272	572	1525
273	574	1521
274	575	1517
275	576	1512
276	578	1508
277	579	1505
278	581	1502
279	582	1498
280	584	1494
281	585	1490
282	586	1486
283	588	1482
284	590	1481
285	592	1478
286	593	1474
287	594	1470
288	596	1466
289	597	1462
290	598	1458
291	600	1456
292	602	1453
293	603	1449
294	605	1446
295	606	1442
296	607	1438
297	609	1435
298	610	1431
299	612	1428
300	613	1425
301	615	1421
302	616	1417
303	617	1414
304	619	1411
305	620	1407
306	622	1405
307	624	1402
308	625	1399
309	627	1395
310	628	1393
311	630	1389
312	631	1386
313	632	1382
314	634	1379
315	635	1376
316	637	1372
317	639	1371
318	641	1368
319	642	1365
320	644	1363
321	646	1360
322	647	1358
323	649	1355
324	651	1353
325	653	1351
326	654	1348
327	656	1345
328	657	1341
329	659	1338
330	660	1335
331	661	1331
332	663	1328
333	665	1326
334	667	1325
335	669	1322
336	670	1319
337	671	1315
338	673	1312
339	674	1309
340	676	1306
341	677	1303
342	679	1300
343	680	1297
344	681	1294
345	683	1291
346	684	1288
347	686	1286
348	688	1283
349	689	1280
350	690	1277
351	692	1274
352	693	1271
353	694	1268
354	696	1265
355	698	1263
356	699	1260
357	701	1257
358	702	1255
359	705	1254
360	707	1251
361	708	1248
362	709	1245
363	711	1242
364	712	1239
365	714	1237
366	716	1235
367	717	1232
368	719	1229
369	720	1226
370	721	1223
371	723	1220
372	724	1218
373	726	1215
374	728	1213
375	729	1211
376	731	1208
377	732	1205
378	734	1202
379	735	1200
380	736	1197
381	738	1195
382	740	1192
383	741	1189
384	743	1186
385	745	1185
386	748	1186
387	750	1184
388	752	1181
389	754	1179
390	759	1183
391	761	1181
392	763	1178
393	764	1175
394	765	1173
395	767	1170
396	768	1167
397	769	1164
398	772	1163
399	773	1160
400	775	1158
401	777	1156
402	778	1153
403	780	1151
404	781	1148
405	783	1146
406	784	1143
407	786	1141
408	787	1138
409	789	1135
410	790	1133
411	792	1130
412	793	1127
413	795	1125
414	796	1123
415	799	1121
416	800	1119
417	802	1116
418	803	1114
419	805	1112
420	807	1110
421	808	1107
422	809	1104
423	811	1102
424	812	1099
425	814	1096
426	817	1096
427	818	1094
428	820	1091
429	821	1089
430	822	1086
431	824	1083
432	825	1081
433	827	1079
434	829	1076
435	830	1074
436	831	1071
437	833	1069
438	834	1066
439	835	1063
440	837	1061
441	839	1060
442	841	1057
443	842	1055
444	844	1052
445	845	1050
446	846	1047
447	848	1045
448	850	1044
449	852	1041
450	853	1039
451	854	1036
452	856	1034
453	857	1031
454	859	1029
455	861	1027
456	862	1025
457	864	1022
458	865	1019
459	866	1017
460	868	1014
461	869	1012
462	871	1010
463	872	1008
464	874	1005
465	875	1003
466	877	1001
467	878	998
468	880	996
469	881	994
470	883	991
471	884	989
472	885	987
473	887	984
474	888	982
475	890	980
476	891	977
477	893	975
478	895	973
479	896	971
480	897	968
481	899	966
482	900	963
483	901	961
484	903	958
485	904	956
486	906	954
487	908	953
488	911	952
489	913	950
490	915	948
491	917	947
492	927	954
493	930	953
494	931	950
495	933	948
496	934	945
497	935	943
498	940	943
499	941	941
500	943	939
501	944	937
502	946	935
503	953	938
504	956	937
505	958	935
506	959	933
507	963	932
508	965	931
509	969	931
510	971	929
511	976	931
512	978	929
513	980	926
514	981	924
515	983	922
516	987	922
517	989	921
518	991	918
519	993	916
520	994	914
521	996	912
522	998	910
523	1000	908
524	1001	906
525	1003	904
526	1005	902
527	1008	901
528	1009	898
529	1011	896
530	1012	894
531	1014	892
532	1015	890
533	1017	888
534	1019	886
535	1021	884
536	1024	882
537	1026	881
538	1029	880
539	1031	878
540	1032	876
541	1034	874
542	1036	872
543	1040	871
544	1041	869
545	1043	867
546	1046	866
547	1047	864
548	1051	863
549	1054	863
550	1057	861
551	1058	859
552	1060	857
553	1063	856
554	1066	855
555	1068	853
556	1070	851
557	1072	849
558	1076	849
559	1080	849
560	1082	846
561	1083	844
562	1085	842
563	1087	840
564	1090	839
565	1091	837
566	1093	835
567	1094	832
568	1099	832
569	1101	830
570	1102	828
571	1104	826
572	1106	824
573	1109	823
574	1111	821
575	1113	819
576	1114	817
577	1115	814
578	1120	814
579	1122	812
580	1123	810
581	1125	808
582	1127	806
583	1131	805
584	1133	804
585	1135	802
586	1136	799
587	1138	797
588	1139	795
589	1144	795
590	1145	792
591	1147	790
592	1148	788
593	1150	786
594	1156	787
595	1158	785
596	1160	783
597	1161	780
598	1162	778
599	1164	776
600	1166	774
601	1168	772
602	1169	770
603	1172	768
604	1177	768
605	1181	768
606	1183	766
607	1184	763
608	1188	762
609	1189	760
610	1192	759
611	1195	757
612	1197	755
613	1201	755
614	1202	753
615	1204	750
616	1206	748
617	1208	746
618	1210	745
619	1212	742
620	1213	740
621	1215	738
622	1217	736
623	1222	736
624	1223	734
625	1227	733
626	1228	731
627	1231	729
628	1233	727
629	1235	725
630	1237	723
631	1239	721
632	1240	719
633	1245	718
634	1246	716
635	1250	715
636	1252	713
637	1254	711
638	1257	710
639	1259	708
640	1261	706
641	1262	704
642	1264	701
643	1265	699
644	1268	698
645	1269	695
646	1271	693
647	1273	691
648	1274	689
649	1278	688
650	1280	686
651	1281	684
652	1283	681
653	1284	679
654	1289	679
655	1292	677
656	1293	675
657	1295	673
658	1297	671
659	1304	671
660	1305	669
661	1307	667
662	1312	667
663	1314	665
664	1319	664
665	1325	664
666	1327	662
667	1328	660
668	1330	658
669	1334	657
670	1337	655
671	1339	653
672	1341	651
673	1343	649
674	1346	648
675	1348	646
676	1350	644
677	1352	642
678	1354	640
679	1357	638
680	1358	636
681	1360	634
682	1362	632
683	1363	629
684	1367	628
685	1369	626
686	1370	624
687	1373	622
688	1375	620
689	1380	620
690	1382	618
691	1384	616
692	1385	613
693	1387	611
694	1389	609
695	1390	607
696	1392	605
697	1395	603
698	1396	601
699	1401	600
700	1405	599
701	1406	597
702	1408	595
703	1410	593
704	1412	590
705	1414	589
706	1416	587
707	1418	585
708	1422	583
709	1428	583
710	1430	581
711	1431	579
712	1434	577
713	1437	575
714	1439	573
715	1441	571
716	1442	569
717	1444	567
718	1446	565
719	1447	563
720	1449	560
721	1451	558
722	1452	556
723	1457	555
724	1459	553
725	1460	551
726	1461	548
727	1463	546
728	1470	546
729	1471	544
730	1473	542
731	1475	540
732	1477	538
733	1480	536
734	1482	534
735	1483	532
736	1485	529
737	1486	527
738	1491	526
739	1492	524
740	1494	522
741	1496	520
742	1498	518
743	1502	516
744	1505	515
745	1507	513
746	1509	511
747	1511	509
748	1513	507
749	1517	505
750	1519	503
751	1520	501
752	1525	500
753	1527	498
754	1529	496
755	1531	494
756	1533	492
757	1536	490
758	1541	489
759	1543	487
760	1545	485
761	1547	483
762	1549	481
763	1551	479
764	1552	477
765	1554	474
766	1556	472
767	1560	471
768	1562	469
769	1563	467
770	1565	464
771	1570	463
772	1571	461
773	1573	459
774	1574	457
775	1576	455
776	1579	453
777	1581	451
778	1583	449
779	1584	446
780	1585	444
781	1587	442
782	1592	441
783	1594	439
784	1595	437
785	1597	434
786	1598	432
787	1605	431
788	1608	430
789	1615	429
790	1618	427
791	1624	426
792	1632	426
793	1635	424
794	1639	422
795	1644	421
796	1648	419
797	1655	418
798	1659	417
799	1663	415
800	1667	414
801	1677	414
802	1681	412
803	1687	411
804	1691	409
805	1695	408
806	1699	406
807	1701	404
808	1707	403
809	1709	400
810	1711	398
811	1712	396
812	1714	394
813	1717	392
814	1720	390
815	1722	388
816	1724	386
817	1726	384
818	1728	382
819	1731	380
820	1733	377
821	1734	375
822	1736	373
823	1739	371
824	1742	369
825	1743	367
826	1744	364
827	1746	362
828	1748	360
829	1752	358
830	1753	356
831	1755	354
832	1757	352
833	1758	350
834	1765	348
835	1766	346
836	1768	344
837	1769	342
838	1771	339
839	1773	337
840	1774	335
841	1776	333
842	1778	331
843	1779	328
844	1783	327
845	1786	325
846	1824	329
847	1826	327
848	1830	325
849	1833	323
850	1835	321
851	1837	319
852	1839	316
853	1840	314
854	1844	312
855	1846	310
856	1849	308
857	1851	306
858	1852	304
859	1854	301
860	1863	300
861	1865	298
862	1868	296
863	1870	294
864	1872	292
865	1873	289
866	1878	288
867	1881	286
868	1883	283
869	1885	281
870	1887	279
871	1889	277
872	1892	275
873	1896	273
874	1900	271
875	1902	269
876	1905	267
877	1908	265
878	1912	263
879	1913	260
880	1916	258
881	1918	256
882	1923	254
883	1926	252
884	1930	250
885	1933	248
886	1935	246
887	1942	244
888	1944	242
889	1948	240
890	1950	238
891	1954	236
892	1957	234
893	1967	233
894	1973	231
895	1977	229
896	1980	227
897	1983	225
898	1986	223
899	1989	221
900	1995	219
901	1998	217
902	2000	214
903	2002	212
904	2007	210
905	2009	208
906	2014	206
907	2018	204
908	2021	202
909	2024	200
910	2028	198
911	2032	196
912	2036	194
913	2039	191
914	2043	189
915	2048	187
916	2050	185
917	2053	183
918	2055	181
919	2058	179
920	2066	177
921	2069	175
922	2071	172
923	2074	170
924	2076	168
925	2080	166
926	2082	163
927	2086	161
928	2088	159
929	2090	157
930	2092	155
931	2095	152
932	2097	150
933	2099	148
934	2101	146
935	2102	143
936	2104	141
937	2105	139
938	2107	136
939	2108	134
940	2110	132
941	2113	130
942	2115	127
943	2117	125
944	2118	123
945	2119	120
946	2126	119
947	2128	116
948	2130	114
949	2131	112
950	2134	109
951	2138	107
952	2141	105
953	2143	103
954	2144	101
955	2147	98
956	2149	96
957	2153	94
958	2155	92
959	2160	90
960	2161	87
961	2163	85
962	2165	83
963	2168	80
964	2171	78
965	2172	76
966	2174	74
967	2175	71
968	2177	69
969	2179	67
970	2181	65
971	2183	62
972	2185	60
973	2187	58
974	2190	56
975	2191	53
976	2193	51
977	2194	49
978	2196	47
979	2201	44
980	2203	42
981	2204	40
982	2206	38
983	2208	35
984	2212	33
985	2215	31
986	2216	29
987	2218	26
988	2219	24
989	2224	22
990	2226	20
991	2228	17
992	2229	15
993	2231	13
994	2238	11
995	2240	8
996	2241	6
997	2243	4
998	2244	2
999	2246	0
