iter	Logloss
0	0.6879706833
1	0.68291662
2	0.6773279882
3	0.6718752592
4	0.6665513015
5	0.661355352
6	0.6565389694
7	0.6515837941
8	0.6469954037
9	0.6439947218
10	0.639342637
11	0.6350385032
12	0.6308368543
13	0.6264997253
14	0.6238379927
15	0.6212326864
16	0.6173516623
17	0.6133365299
18	0.6094271289
19	0.6056100944
20	0.6020936705
21	0.5984511636
22	0.5953222145
23	0.5920447376
24	0.589950952
25	0.5867998257
26	0.5839291628
27	0.5811270986
28	0.5781788189
29	0.5753011091
30	0.5734858378
31	0.5707188796
32	0.5680184694
33	0.5652039292
34	0.5626333034
35	0.5599524534
36	0.5575052161
37	0.5552682674
38	0.5527672252
39	0.5503254914
40	0.5480997811
41	0.5459273712
42	0.5445691
43	0.5424796711
44	0.5404402305
45	0.5391731914
46	0.5379329654
47	0.5358490685
48	0.533814438
49	0.5326589045
50	0.5308449352
51	0.5291803495
52	0.5273070703
53	0.5257222944
54	0.524695113
55	0.5229287618
56	0.5213341929
57	0.5198798684
58	0.5189444304
59	0.5180287017
60	0.5164225227
61	0.5149749748
62	0.5135617718
63	0.5121820922
64	0.5109224363
65	0.5096924195
66	0.5083990269
67	0.5070233351
68	0.5057903964
69	0.5046680338
70	0.5039617072
71	0.5032701904
72	0.5020156407
73	0.5007914759
74	0.5001464412
75	0.4989677369
76	0.4979138029
77	0.4968845198
78	0.4957817278
79	0.4947050977
80	0.4936536292
81	0.4927187036
82	0.4918661193
83	0.4908826542
84	0.4900084341
85	0.4895100724
86	0.4887251045
87	0.4878143749
88	0.4873488114
89	0.4866102492
90	0.4857483773
91	0.4849846059
92	0.484238517
93	0.4838231872
94	0.4834164467
95	0.483018144
96	0.4823160905
97	0.4816302276
98	0.4809601945
99	0.4802290275
100	0.4796318234
101	0.4789316986
102	0.47831902
103	0.4777203519
104	0.4771730965
105	0.4768562486
106	0.4765459398
107	0.4760247762
108	0.4755167718
109	0.4749763916
110	0.4744886834
111	0.4739067575
112	0.4734408033
113	0.4729433964
114	0.4724968949
115	0.4719603578
116	0.4714938734
117	0.4709808201
118	0.4705721727
119	0.4701345381
120	0.4699086888
121	0.4694308861
122	0.468963913
123	0.468752675
124	0.4683534373
125	0.4679105814
126	0.4677128669
127	0.4672845765
128	0.4670953083
129	0.4667308581
130	0.4665495604
131	0.466147118
132	0.465753723
133	0.465417113
134	0.4650879208
135	0.4647660494
136	0.4644513554
137	0.4640960332
138	0.4638155695
139	0.463474512
140	0.4633294998
141	0.4630436497
142	0.4627641532
143	0.4624907651
144	0.462179043
145	0.4619339119
146	0.4616939547
147	0.4614593587
148	0.4613377449
149	0.4611108247
150	0.4608889624
151	0.4606126036
152	0.4604004533
153	0.4601928173
154	0.4599316155
155	0.4596762212
156	0.4595742588
157	0.4593267836
158	0.4591187485
159	0.4589342941
160	0.4587541744
161	0.4585572008
162	0.4584676945
163	0.4582768958
164	0.4581910865
165	0.458006319
166	0.4577929025
167	0.4577124493
168	0.4575057142
169	0.4573343553
170	0.4572589157
171	0.457062273
172	0.4568693306
173	0.4568125949
174	0.4566250562
175	0.4565562521
176	0.4564181302
177	0.4563620127
178	0.4562273014
179	0.4560525833
180	0.4558813713
181	0.4557551688
182	0.4556950048
183	0.4555315128
184	0.4553969242
185	0.4552793532
186	0.4552241228
187	0.4550955777
188	0.4550512319
189	0.4549400062
190	0.4547928099
191	0.4546862496
192	0.4545819263
193	0.4544422734
194	0.4543280698
195	0.4542163572
196	0.4541710461
197	0.4541266422
198	0.4540889962
199	0.4539598517
200	0.4538334341
201	0.4537097144
202	0.4536097042
203	0.453570003
204	0.4534519272
205	0.453356961
206	0.4532434294
207	0.453211713
208	0.453121414
209	0.4530422655
210	0.4529355503
211	0.4529029715
212	0.452869076
213	0.4528345176
214	0.4527607141
215	0.4527283095
216	0.4526280004
217	0.4525969282
218	0.4525275377
219	0.4524314606
220	0.4523374376
221	0.4522625301
222	0.4521722659
223	0.4521449185
224	0.4520568838
225	0.4519707259
226	0.4518864643
227	0.4518636933
228	0.4517973978
229	0.4517166945
230	0.4516924104
231	0.4516140062
232	0.4515520924
233	0.4515292081
234	0.4515067788
235	0.4514321748
236	0.4513593355
237	0.4513382797
238	0.4512672891
239	0.451218469
240	0.4511636747
241	0.451144311
242	0.4511262973
243	0.4511043242
244	0.4510380948
245	0.4509866812
246	0.4509363039
247	0.4508736154
248	0.4508562972
249	0.4507953478
250	0.4507356095
251	0.4506949907
252	0.4506799997
253	0.450664134
254	0.4506249278
255	0.4506078252
256	0.4505936486
257	0.4505381724
258	0.4504837401
259	0.4504475835
260	0.4504063315
261	0.4503924274
262	0.4503761068
263	0.4503362255
264	0.4503025344
265	0.4502870475
266	0.4502740335
267	0.450235958
268	0.4502234652
269	0.4502093379
270	0.4501616681
271	0.4501150418
272	0.450103336
273	0.4500918622
274	0.4500569809
275	0.4500459657
276	0.4500328515
277	0.4499889034
278	0.4499786914
279	0.4499457962
280	0.4499036569
281	0.4498935728
282	0.4498524797
283	0.4498122948
284	0.4498007042
285	0.4497912495
286	0.4497819814
287	0.4497432095
288	0.4497051808
289	0.4496679192
290	0.4496594472
291	0.4496509454
292	0.4496235427
293	0.44961538
294	0.4495926084
295	0.4495576859
296	0.4495472049
297	0.4495395466
298	0.4495318987
299	0.4495244016
300	0.4494992224
